date,price,kind
2025-01-01 00:00:00+00:00,2621.775,L
2025-01-03 00:00:00+00:00,2665.405,H
2025-01-06 00:00:00+00:00,2614.635,L
2025-01-10 00:00:00+00:00,2697.95,H
2025-01-13 00:00:00+00:00,2656.835,L
2025-01-21 00:00:00+00:00,2746.055,H
2025-01-21 00:00:00+00:00,2702.815,L
2025-01-24 00:00:00+00:00,2786.06,H
2025-01-27 00:00:00+00:00,2730.56,L
2025-02-03 00:00:00+00:00,2830.755,H
2025-02-03 00:00:00+00:00,2772.215,L
2025-02-05 00:00:00+00:00,2882.31,H
2025-02-06 00:00:00+00:00,2834.27,L
2025-02-10 00:00:00+00:00,2921.655,H
2025-02-10 00:00:00+00:00,2865.875,L
2025-02-11 00:00:00+00:00,2942.78,H
2025-02-12 00:00:00+00:00,2864.33,L
2025-02-14 00:00:00+00:00,2939.98,H
2025-02-14 00:00:00+00:00,2877.025,L
2025-02-24 00:00:00+00:00,2956.31,H
2025-02-27 00:00:00+00:00,2867.795,L
2025-02-27 00:00:00+00:00,2919.215,H
2025-02-28 00:00:00+00:00,2832.72,L
2025-03-04 00:00:00+00:00,2927.91,H
2025-03-04 00:00:00+00:00,2881.98,L
2025-03-07 00:00:00+00:00,2930.54,H
2025-03-11 00:00:00+00:00,2880.25,L
2025-03-13 00:00:00+00:00,2990.055,H
2025-03-13 00:00:00+00:00,2932.98,L
2025-03-20 00:00:00+00:00,3057.59,H
2025-03-21 00:00:00+00:00,2999.465,L
2025-03-30 00:00:00+00:00,3097.978,H
